"msgid","msgstr"
Public,عام
Home,الرئيسية
New {0},{0} جديد
{0} s,{0} ث
{0} h,{0} س
{0} m,{0} د
s,ث
h,س
m,د
No.,م.
Journal Entry,قيد يومي
Accounting Masters.,أساسيات المحاسبة
EGP,ج.م
Consultation,الإستشارات
Reports & Masters,التقارير و البيانات الرئيسية
Service Units,وحدات الخدمة
Patient Profile,ملف المريض
Monthly Therapy Sessions:,جلسات العلاج الشهرية:
Total Therapy Sessions:,إجمالي جلسات العلاج:
Contact:,الاتصال:
Gender:,الجنس:
No Observations,لا توجد ملاحظات
Grouped Observations,ملاحظات مجمعة
Reference Range,النطاق المرجعي
Date Time,تاريخ ووقت
New Observation,ملاحظة جديدة
No Medication Requests,لا توجد طلبات أدوية
Quantity:,الكمية:
Dosage:,الجرعة:
Dosage Form:,شكل الجرعة:
Period:,الفترة:
Medication:,الدواء:
Stop,إيقاف
Medication Requests,طلبات الأدوية
No Service Requests,لا توجد طلبات خدمة
Order Name:,اسم الأمر:
Order Type:,نوع الأمر:
Revoke,إلغاء
Service Requests,طلبات الخدمة
New Medication Request,طلب دواء جديد
New Service Request,طلب خدمة جديد
No Clinical Notes,لا توجد ملاحظات سريرية
New Clinical Note,ملاحظة سريرية جديدة
"""Not Allowed to delete coverage after submission, please update the Coverage status instead""",غير مسموح بحذف التغطية بعد التقديم، يرجى تحديث حالة التغطية بدلًا من ذلك
Update,تحديث
Claim Error / Reject Reason,سبب خطأ/رفض المطالبة
Please first select the rows you want to update,يرجى أولًا تحديد الصفوف التي تريد تحديثها
Fetching Coverages,جارٍ جلب التغطيات
Update Claim Status,تحديث حالة المطالبة
Create Payment Entry,إنشاء قيد دفع
Confirm to Schedule Admission,تأكيد لجدولة الدخول
"""If this Healthcare Practitioner also works for the In-Patient Department, set the inpatient visit charge for this Practitioner.""",إذا كان ممارس الرعاية الصحية هذا يعمل أيضًا لقسم المنوّمين ، فعيّن رسوم زيارة المنوّمين لهذا الممارس.
Set the Out Patient Consulting Charge for this Practitioner.,عيّن رسوم استشارة العيادات الخارجية لهذا الممارس.
"""If this Healthcare Practitioner works for the In-Patient Department, create a service item for Inpatient Visits.""",إذا كان ممارس الرعاية الصحية هذا يعمل لقسم المنوّمين، فأنشئ صنف خدمة لزيارات المنوّمين.
Create and link a service item to be billed for Out Patient Consulting.,أنشئ واربط صنف خدمة ليتم فوترته لاستشارات العيادات الخارجية.
"""Link the Google Calendar created and Authorized by the practitioner, all tele consultation appointments will be scheduled using this calendar""",اربط تقويم Google الذي أنشأه الممارس وأذن به، سيتم جدولة جميع مواعيد الاستشارات عن بُعد باستخدام هذا التقويم
Set the Practitioner Schedule you just created. This will be used while booking appointments.,عيّن جدول الممارس الذي أنشأته للتو. سيتم استخدامه عند حجز المواعيد.
"""If you want to track Payroll and other HRMS operations for a Practitoner, create an Employee and link it here.""",إذا كنت تريد تتبع الرواتب وعمليات نظام الموارد البشرية الأخرى للممارس، أنشئ موظفًا واربطه هنا.
Create Coverage,إنشاء تغطية
Mark Draft,وضع علامة مسودة
Mark Rejected,وضع علامة مرفوض
Mark Approved,وضع علامة معتمد
"""If you want to send SMS alert on Patient Registration, you can enable this option. Similary, you can set up Out Patient SMS alerts for other functionalities in this section. Click""",إذا كنت تريد إرسال تنبيه SMS عند تسجيل المريض، يمكنك تفعيل هذا الخيار. وبالمثل، يمكنك إعداد تنبيهات SMS للعيادات الخارجية لوظائف أخرى في هذا القسم. انقر
Out Patient SMS alerts,تنبيهات SMS للعيادات الخارجية
"""If you wish to override default accounts settings and configure the Income and Receivable accounts for Healthcare, you can do so here.""",إذا كنت ترغب في تجاوز إعدادات الحسابات الافتراضية وتهيئة حسابات الإيرادات والمدينين للرعاية الصحية، يمكنك ذلك هنا.
Set up default Accounts for the Healthcare Facility,إعداد الحسابات الافتراضية لمنشأة الرعاية الصحية
to know more,لمعرفة المزيد
"""You can create a service item for Inpatient Visit Charge and set it here. Similarly, you can set up other Healthcare Service Items for billing in this section. Click""",يمكنك إنشاء صنف خدمة لرسوم زيارة المنوّمين وتعيينه هنا. وبالمثل، يمكنك إعداد أصناف خدمات رعاية صحية أخرى للفوترة في هذا القسم. انقر
Healthcare Service Items,أصناف خدمات الرعاية الصحية
"""Validates all mandatory tasks in nursing checklist to be Completed before a Patient transactional event. For example, if any of the tasks as part of the Discharge Checklist is not in status Completed, system will alert the user while trying to Discharge the Patient from inpatient facility""",يتحقق من إكمال جميع المهام الإلزامية في قائمة التمريض قبل حدث معاملي للمريض. على سبيل المثال، إذا كانت أي مهام ضمن قائمة الخروج ليست بحالة مكتمل، فسيُنبه النظام المستخدم عند محاولة إخراج المريض من منشأة المنوّمين
Checking this will popup to invoice appointment,تحديد هذا سيعرض نافذة منبثقة لفوترة الموعد
Show Payment Popup,إظهار نافذة الدفع المنبثقة
"""If your Healthcare facility bills registrations of Patients, you can check this and set the Registration Fee in the field below. Checking this will create new Patients with a Disabled status by default and will only be enabled after invoicing the Registration Fee.""",إذا كانت منشأة الرعاية الصحية لديك تفوتر تسجيلات المرضى، يمكنك تحديد هذا وضبط رسوم التسجيل في الحقل أدناه. تحديد هذا سيؤدي إلى إنشاء مرضى جدد بحالة معطّل افتراضيًا ولن يتم تمكينهم إلا بعد فوترة رسوم التسجيل.
Collect Registration Fee,تحصيل رسوم التسجيل
"""While booking tele-consultation appointments via Google Meet, this Google Calendar will be used. You can also configure separate Google Calender for each Practitioner if required""",عند حجز مواعيد الاستشارات عن بُعد عبر Google Meet، سيتم استخدام تقويم Google هذا. يمكنك أيضًا تهيئة تقويم Google منفصل لكل ممارس إذا لزم الأمر
Will be set as the default Code System selected in the Codification Table,سيتم تعيينه كنظام الترميز الافتراضي المحدد في جدول الترميز
